ID,Image,TrialType,Mean,Median
136,1,0,11.5,10.5
136,2,0,15.6875,1
136,3,0,6.5625,1
136,4,0,13.875,5
136,5,0,14.6875,1
137,1,0,35.8125,17
137,2,0,39.3125,24
137,3,0,44,44
137,4,0,32.6875,25.5
137,5,0,51.1875,62
138,1,0,17.25,1.5
138,2,0,30.1875,26.5
138,3,0,22.5,16.5
138,4,0,22.75,11
138,5,0,39.5,27.5
139,1,0,26.5625,19.5
139,2,0,29.8125,17.5
139,3,0,30.0625,16.5
139,4,0,11.625,2.5
139,5,0,26.1875,16
140,1,0,47.53333333,42
140,2,0,43.53333333,35
140,3,0,42.86666667,28
140,4,0,31.8,25
140,5,0,36.2,28
141,1,0,30.8,28
141,2,0,20.3,4
141,3,0,60.3,63
141,4,0,31.2,20
141,5,0,46.8,44
142,1,0,11.8,1
142,2,0,15.9,7.5
142,3,0,12.1,1.5
142,4,0,10.3,1
142,5,0,16.9,6
143,1,0,16.1,12
143,2,0,22.0,5
143,3,0,10.8,5
143,4,0,16.4,5
143,5,0,28.4,21
144,1,0,11.3,6
144,2,0,30.9,21
144,3,0,41.4,34.5
144,4,0,45.9,24.5
144,5,0,33.5,24.5
145,1,0,18.9,6.5
145,2,0,15.3,1
145,3,0,12.1,5
145,4,0,6.4,1.5
145,5,0,23.7,5
146,1,0,53.3,63
146,2,0,56.5,66
146,3,0,53.3,58
146,4,0,57.3,78
146,5,0,34.5,24
147,1,0,23.2,12
147,2,0,9.9,4
147,3,0,5.1,1
147,4,0,20.8,13
147,5,0,8.5,1
148,1,0,13.9,3.5
148,2,0,27.8,6.5
148,3,0,18.6,8
148,4,0,22.0,10.5
148,5,0,29.5,18.5
149,1,0,35.7,25.5
149,2,0,38.6,34.5
149,3,0,33.4,22.5
149,4,0,19.0,9
149,5,0,40.0,33.5
150,1,0,12.6,1
150,2,0,19.5,7
150,3,0,12.5,1
150,4,0,32.3,30
150,5,0,16.8,1
151,1,0,20.2,4
151,2,0,15.6,1.5
151,3,0,8.7,1
151,4,0,37.2,28
151,5,0,20.4,12.5
152,1,0,54.5,57
152,2,0,46.2,31
152,3,0,43.6,22
152,4,0,47.7,40
152,5,0,49.2,61
153,1,0,31.1,17
153,2,0,36.4,22
153,3,0,16.8,6
153,4,0,39.9,31
153,5,0,51.7,41
154,1,0,26.5,26
154,2,0,21.1,8
154,3,0,30.3,20
154,4,0,43.2,27
154,5,0,34.3,12
155,1,0,36.2,16.5
155,2,0,29.0,19.5
155,3,0,23.2,10.5
155,4,0,28.9,16
155,5,0,32.9,14.5
156,1,0,17.3,5
156,2,0,19.5,15
156,3,0,25.3,22
156,4,0,23.9,14
156,5,0,17.5,1
157,1,0,18.9,9.5
157,2,0,25.4,8.5
157,3,0,22.4,16.5
157,4,0,31.5,14.5
157,5,0,18.9,9.5
158,1,0,35.3,18.5
158,2,0,30.8,17.5
158,3,0,26.4,4.5
158,4,0,44.1,57.5
158,5,0,27.4,20.5
159,1,0,15.2,16
159,2,0,22.4,11
159,3,0,11.7,1
159,4,0,30.8,18
159,5,0,9.8,1
160,1,0,23.7,20.5
160,2,0,21.8,13
160,3,0,19.1,5.5
160,4,0,15.0,4.5
160,5,0,33.1,11
